id_cliente,genero_cliente,tipo_cliente
C00001,Hombre,Turista
C00003,Hombre,Local
C00004,Mujer,Local
C00006,Mujer,Turista
C00007,Mujer,Local
C00009,Mujer,Local
C00011,Mujer,Local
C00012,Mujer,Local
C00013,Hombre,Local
C00014,Mujer,Local
C00015,Mujer,Local
C00016,Mujer,Local
C00021,Hombre,Local
C00022,Hombre,Turista
C00024,Hombre,Turista
C00025,Hombre,Local
C00026,Hombre,Local
C00030,Hombre,Local
C00031,Mujer,Local
C00032,Mujer,Turista
C00033,Hombre,Local
C00034,Mujer,Local
C00035,Hombre,Local
C00036,Mujer,Local
C00037,Mujer,Local
C00038,Hombre,Local
C00039,Hombre,Local
C00040,Hombre,Local
C00041,Hombre,Local
C00042,Hombre,Turista
C00043,Hombre,Local
C00044,Hombre,Local
C00045,Hombre,Local
C00046,Hombre,Local
C00047,Hombre,Local
C00048,Mujer,Local
C00049,Hombre,Local
C00050,Hombre,Local
C00052,Mujer,Local
C00053,Mujer,Local
C00054,Hombre,Local
C00055,Mujer,Turista
C00057,Hombre,Local
C00058,Hombre,Local
C00063,Hombre,Turista
C00064,Hombre,Local
C00066,Hombre,Local
C00067,Mujer,Local
C00068,Hombre,Local
C00069,Hombre,Local
C00070,Hombre,Local
C00071,Hombre,Local
C00072,Hombre,Turista
C00073,Hombre,Turista
C00074,Mujer,Local
C00075,Mujer,Local
C00077,Mujer,Local
C00080,Hombre,Local
C00081,Mujer,Local
C00082,Mujer,Local
C00084,Hombre,Local
C00085,Mujer,Local
C00086,Mujer,Local
C00087,Mujer,Local
C00088,Hombre,Local
C00089,Hombre,Turista
C00090,Mujer,Local
C00091,Hombre,Local
C00093,Hombre,Local
C00094,Mujer,Local
C00095,Hombre,Local
C00098,Mujer,Local
C00099,Mujer,Local
C00101,Hombre,Local
C00102,Hombre,Local
C00103,Hombre,Turista
C00104,Hombre,Local
C00106,Hombre,Local
C00107,Hombre,Local
C00108,Hombre,Local
C00109,Hombre,Local
C00110,Hombre,Turista
C00113,Hombre,Local
C00114,Hombre,Turista
C00115,Hombre,Local
C00118,Mujer,Local
C00119,Hombre,Local
C00121,Hombre,Local
C00122,Hombre,Local
C00124,Hombre,Local
C00125,Mujer,Local
C00126,Hombre,Local
C00127,Hombre,Local
C00128,Mujer,Local
C00130,Hombre,Local
C00132,Hombre,Local
C00134,Hombre,Turista
C00136,Hombre,Local
C00138,Hombre,Local
C00139,Hombre,Turista
C00140,Hombre,Local
C00141,Hombre,Local
C00142,Hombre,Local
C00146,Mujer,Local
C00147,Mujer,Local
C00148,Mujer,Turista
C00151,Hombre,Local
C00152,Hombre,Local
C00153,Mujer,Local
C00154,Hombre,Local
C00155,Hombre,Local
C00158,Hombre,Local
C00160,Mujer,Local
C00161,Mujer,Local
C00162,Mujer,Turista
C00163,Hombre,Local
C00165,Hombre,Local
C00168,Mujer,Local
C00169,Hombre,Local
C00172,Mujer,Local
C00173,Mujer,Local
C00174,Hombre,Local
C00175,Mujer,Local
C00177,Hombre,Local
C00178,Hombre,Local
C00179,Mujer,Local
C00182,Mujer,Local
C00183,Hombre,Local
C00184,Hombre,Local
C00185,Mujer,Local
C00186,Mujer,Local
C00187,Mujer,Turista
C00188,Hombre,Local
C00189,Hombre,Local
C00190,Hombre,Local
C00191,Mujer,Local
C00193,Mujer,Local
C00195,Hombre,Local
C00197,Hombre,Local
C00198,Hombre,Local
C00199,Hombre,Local
C00200,Mujer,Turista
C00201,Hombre,Local
C00203,Hombre,Local
C00204,Hombre,Local
C00205,Mujer,Local
C00207,Hombre,Local
C00208,Hombre,Local
C00210,Mujer,Turista
C00211,Hombre,Local
C00212,Hombre,Local
C00213,Mujer,Local
C00214,Hombre,Local
C00215,Hombre,Local
C00216,Hombre,Local
C00217,Mujer,Local
C00218,Mujer,Local
C00219,Mujer,Local
C00220,Mujer,Local
C00221,Hombre,Local
C00222,Mujer,Local
C00223,Hombre,Local
C00226,Hombre,Local
C00227,Mujer,Turista
C00228,Hombre,Local
C00229,Mujer,Local
C00230,Mujer,Local
C00232,Hombre,Local
C00233,Mujer,Local
C00234,Hombre,Local
C00236,Hombre,Local
C00237,Hombre,Turista
C00238,Hombre,Local
C00239,Hombre,Local
C00240,Mujer,Local
C00241,Hombre,Local
C00243,Hombre,Local
C00245,Mujer,Local
C00246,Hombre,Local
C00247,Mujer,Local
C00248,Hombre,Local
C00250,Mujer,Local
C00251,Mujer,Local
C00252,Hombre,Local
C00253,Hombre,Turista
C00256,Hombre,Local
C00258,Mujer,Turista
C00259,Mujer,Turista
C00261,Hombre,Local
C00263,Hombre,Local
C00265,Mujer,Local
C00267,Hombre,Turista
C00270,Mujer,Local
C00272,Mujer,Local
C00273,Hombre,Local
C00274,Hombre,Local
C00275,Hombre,Local
C00276,Hombre,Local
C00277,Hombre,Local
C00278,Mujer,Local
C00280,Hombre,Local
C00281,Hombre,Local
C00283,Hombre,Local
C00284,Mujer,Local
C00285,Hombre,Local
C00286,Hombre,Local
C00287,Hombre,Local
C00288,Hombre,Local
C00289,Mujer,Local
C00290,Hombre,Local
C00291,Hombre,Local
C00292,Mujer,Local
C00294,Hombre,Local
C00295,Mujer,Local
C00296,Hombre,Local
C00297,Hombre,Turista
C00299,Hombre,Turista
C00301,Hombre,Local
C00303,Hombre,Local
C00304,Mujer,Local
C00305,Hombre,Local
C00306,Hombre,Turista
C00308,Mujer,Local
C00309,Hombre,Local
C00310,Hombre,Local
C00311,Hombre,Local
C00312,Hombre,Local
C00313,Mujer,Local
C00315,Hombre,Local
C00319,Hombre,Local
C00320,Hombre,Local
C00322,Hombre,Local
C00324,Hombre,Local
C00325,Hombre,Local
C00326,Hombre,Local
C00327,Hombre,Turista
C00328,Hombre,Local
C00329,Hombre,Local
C00330,Hombre,Turista
C00332,Mujer,Local
C00334,Mujer,Local
C00335,Mujer,Local
C00336,Mujer,Turista
C00337,Mujer,Local
C00338,Hombre,Local
C00339,Hombre,Local
C00340,Hombre,Local
C00341,Mujer,Local
C00343,Mujer,Local
C00344,Hombre,Local
C00345,Hombre,Local
C00346,Mujer,Turista
C00348,Hombre,Turista
C00349,Hombre,Local
C00350,Hombre,Local
C00351,Hombre,Local
C00352,Hombre,Local
C00353,Hombre,Local
C00354,Mujer,Turista
C00355,Mujer,Local
C00356,Hombre,Local
C00357,Mujer,Local
C00358,Mujer,Local
C00359,Hombre,Local
C00360,Hombre,Local
