id_venta,numero_linea,fecha_venta,id_cliente,id_producto,id_tienda,cantidad,precio_unitario,descuento,metodo_pago,canal,temporada,talla
V003565,1,2024-02-04,C00909,P0003,T007,4,179000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,40
V002111,2,2023-01-01,C00348,P0008,T040,1,211000.0,0.0,Efectivo,Tienda Física,Regreso A Clases,M
V002185,1,2023-03-31,C00804,P0009,T003,1,128000.0,0.0,Efectivo,Tienda Física,Día Del Padre,Xxl
V002828,1,2024-05-13,C00951,P0014,T034,2,133000.0,0.0,Tarjeta Crédito,Tienda Física,Black Friday,38
V001693,1,2023-11-14,C01804,P0007,T030,1,61000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xl
V002807,1,2024-02-18,C02277,P0002,T012,3,161000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,S
V000115,1,2025-04-07,C02234,P0008,T004,1,209000.0,0.3,Tarjeta Crédito,Tienda Física,Temporada Regular,Xl
V003330,1,2024-02-17,C01818,P0023,T039,4,74000.0,0.0,Transferencia,Tienda Física,Regreso A Clases,Xl
V000124,1,2023-12-20,C02711,P0024,T022,2,207000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,L
V002362,2,2023-08-27,C02186,P0004,T031,1,170000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,28
V003606,1,2023-09-21,C01850,P0011,T021,4,132000.0,0.0,Tarjeta Crédito,Tienda Física,Regreso A Clases,M
V002888,1,2023-05-01,C02105,P0024,T032,4,226000.0,0.0,Efectivo,Tienda Física,Regreso A Clases,Xxl
V003164,1,2024-04-19,C00648,P0020,T009,1,78000.0,0.0,Tarjeta Débito,Tienda Física,Black Friday,Xxl
V002461,3,2024-09-21,C01138,P0007,T004,2,60000.0,0.3,Tarjeta Débito,Tienda Física,Temporada Regular,L
V000546,1,2023-10-14,C01500,P0019,T006,3,70000.0,0.0,Tarjeta Débito,Tienda Física,Regreso A Clases,M
V000214,1,2023-05-14,C01254,P0009,T041,2,122000.0,0.0,Tarjeta Débito,Tienda Física,Regreso A Clases,S
V001682,1,2024-08-06,C00725,P0021,T034,2,118000.0,0.0,Efectivo,Tienda Física,Día De La Madre,S
V001888,1,2025-08-25,C02526,P0016,T009,1,145000.0,0.15,Tarjeta Crédito,Tienda Física,Día De La Madre,40
V000187,2,2024-04-04,C01877,P0018,T012,1,78000.0,0.0,Transferencia,Online,Temporada Regular,L
V002588,1,2023-12-19,C01764,P0025,T023,1,143000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xl
V000855,1,2024-07-27,C00435,P0024,T023,3,216000.0,0.15,Transferencia,Online,Temporada Regular,S
V003757,1,2025-01-05,C01015,P0009,T011,1,128000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xl
V000720,1,2024-09-02,C00958,P0018,T031,1,77000.0,0.0,Efectivo,Tienda Física,Temporada Regular,M
V000599,2,2023-07-27,C02343,P0012,T030,2,113000.0,0.05,Efectivo,Tienda Física,Temporada Regular,M
V000175,1,2025-03-23,C01327,P0025,T031,2,135000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xs
V001520,2,2025-05-22,C02257,P0009,T004,1,124000.0,0.3,Tarjeta Débito,Tienda Física,Temporada Regular,L
V001652,1,2024-03-15,C01578,P0005,T004,3,108000.0,0.0,Tarjeta Débito,Online,Temporada Regular,M
V002143,3,2024-08-31,C02754,P0024,T013,2,210000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,M
V002267,2,2023-04-30,C02352,P0024,T043,1,224000.0,0.0,Tarjeta Débito,Online,Temporada Regular,M
V003261,1,2024-12-05,C02237,P0020,T034,1,79000.0,0.3,Tarjeta Débito,Online,Temporada Regular,Xl
V003730,1,2023-02-19,C00964,P0013,T025,2,58000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,S
V003459,2,2024-12-18,C02416,P0009,T006,2,125000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V001045,2,2025-12-07,C00671,P0014,T003,4,138000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,36
V002538,1,2025-12-30,C01110,P0001,T030,2,149000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,30
V002040,1,2025-10-22,C02702,P0019,T004,1,71000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,Xl
V002184,1,2023-05-24,C01029,P0011,T004,1,128000.0,0.0,Tarjeta Crédito,Online,Día De La Madre,Xxl
V002791,1,2023-12-08,C01489,P0003,T022,3,182000.0,0.0,Tarjeta Crédito,Tienda Física,Vacaciones,36
V001061,1,2024-03-31,C02552,P0024,T035,4,208000.0,0.0,Tarjeta Débito,Tienda Física,Temporada De Diciembre,M
V003689,1,2023-06-07,C02241,P0022,T010,1,191000.0,0.0,Efectivo,Online,Vacaciones,M
V000581,2,2025-05-05,C02346,P0016,T004,1,145000.0,0.0,Tarjeta Crédito,Tienda Física,Vacaciones,40
V002756,1,2025-11-17,C01759,P0008,T017,2,223000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,M
V003306,1,2023-09-04,C00804,P0010,T018,1,99000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,40
V000996,1,2024-02-17,C02186,P0022,T028,1,210000.0,0.0,Tarjeta Crédito,Online,Vacaciones,S
V003199,2,2025-03-25,C01058,P0011,T004,1,138000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,S
V003547,1,2024-01-07,C00401,P0014,T005,2,133000.0,0.0,Tarjeta Débito,Online,Temporada Regular,32
V001701,1,2023-11-21,C00025,P0014,T003,1,138000.0,0.0,Efectivo,Tienda Física,Temporada Regular,38
V001840,1,2023-09-19,C01810,P0018,T043,1,75000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V000723,1,2023-11-27,C00878,P0019,T003,1,76000.0,0.0,Efectivo,Tienda Física,Temporada Regular,L
V000446,2,2024-03-02,C01285,P0013,T004,2,58000.0,0.05,Efectivo,Tienda Física,Temporada Regular,Xs
V002957,2,2025-02-19,C00177,P0001,T026,2,140000.0,0.2,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,28
V003331,1,2023-02-21,C00957,P0017,T004,1,142000.0,0.0,Tarjeta Débito,Tienda Física,Vacaciones,L
V001955,1,2025-09-06,C00793,P0015,T021,2,177000.0,0.0,Efectivo,Tienda Física,Temporada Regular,32
V000358,2,2025-03-21,C02032,P0015,T004,1,174000.0,0.0,Efectivo,Tienda Física,Temporada Regular,40
V002786,2,2025-09-27,C01517,P0024,T038,1,207000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xl
V002614,1,2024-08-20,C02627,P0008,T039,1,207000.0,0.0,Tarjeta Débito,Tienda Física,Día De La Madre,Xxl
V002226,1,2023-07-09,C00506,P0014,T027,4,132000.0,0.05,Tarjeta Crédito,Tienda Física,Regreso A Clases,40
V002695,1,2024-01-01,C00880,P0018,T004,2,77000.0,0.05,Efectivo,Tienda Física,Temporada Regular,S
V001395,1,2023-10-22,C00311,P0021,T025,1,123000.0,0.05,Tarjeta Débito,Tienda Física,Temporada Regular,L
V001556,1,2024-11-12,C02491,P0019,T035,1,74000.0,0.2,Tarjeta Débito,Tienda Física,Temporada Regular,Xs
V003318,3,2025-07-01,C02799,P0004,T017,1,171000.0,0.0,Efectivo,Tienda Física,Temporada De Diciembre,38
V000859,1,2025-03-15,C00246,P0006,T009,2,55000.0,0.0,Efectivo,Tienda Física,Temporada Regular,L
V003270,2,2024-07-29,C01840,P0014,T011,1,142000.0,0.1,Efectivo,Tienda Física,Temporada De Diciembre,38
V000223,1,2024-12-29,C02310,P0009,T021,1,129000.0,0.0,Efectivo,Tienda Física,Black Friday,L
V001073,1,2025-08-18,C02113,P0012,T004,3,106000.0,0.0,Efectivo,Tienda Física,Temporada Regular,S
V002477,2,2024-12-21,C02723,P0010,T004,4,95000.0,0.0,Tarjeta Crédito,Online,Black Friday,40
V000150,1,2023-09-25,C02445,P0014,T043,1,143000.0,0.15,Tarjeta Débito,Tienda Física,Temporada De Diciembre,30
V003190,1,2024-06-19,C02733,P0014,T006,2,137000.0,0.15,Tarjeta Crédito,Tienda Física,Temporada Regular,38
V001101,1,2023-12-05,C02457,P0026,T004,1,130000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xxl
V000985,2,2025-12-10,C02064,P0020,T020,2,79000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,L
V000522,1,2023-10-05,C00832,P0011,T042,3,137000.0,0.0,Efectivo,Tienda Física,Temporada Regular,M
V002781,1,2024-02-21,C01632,P0011,T024,1,135000.0,0.0,Tarjeta Crédito,Tienda Física,Black Friday,Xxl
V002372,1,2025-10-12,C01363,P0017,T013,4,147000.0,0.2,Efectivo,Tienda Física,Día Del Padre,Xxl
V000503,2,2024-04-19,C00136,P0017,T016,1,140000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,S
V001326,1,2023-01-13,C01761,P0010,T009,4,95000.0,0.0,Transferencia,Online,Temporada Regular,30
V003409,2,2024-12-26,C00938,P0018,T004,2,79000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xl
V002276,2,2024-02-14,C02021,P0016,T043,2,133000.0,0.05,Tarjeta Crédito,Tienda Física,Temporada Regular,40
V000995,1,2024-02-12,C00513,P0026,T030,4,141000.0,0.0,Tarjeta Débito,Tienda Física,Vacaciones,Xxl
V002985,2,2024-12-19,C01809,P0024,T039,4,212000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,S
V002773,2,2023-12-27,C00957,P0007,T023,4,61000.0,0.0,Efectivo,Tienda Física,Vacaciones,S
V000085,1,2024-01-25,C00389,P0011,T004,1,139000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xs
V003236,2,2025-05-18,C00447,P0019,T004,1,70000.0,0.4,Tarjeta Crédito,Tienda Física,Temporada Regular,L
V000429,1,2025-04-22,C02233,P0025,T004,2,139000.0,0.0,Tarjeta Débito,Tienda Física,Black Friday,S
V002142,1,2025-04-26,C01019,P0016,T019,4,133000.0,0.0,Transferencia,Tienda Física,Temporada Regular,30
V003681,3,2025-05-19,C00014,P0002,T031,1,150000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,Xs
V003297,1,2025-08-03,C01315,P0018,T028,1,78000.0,0.4,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V000087,1,2024-10-18,C01135,P0003,T004,1,184000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,30
V001785,1,2023-06-03,C02178,P0010,T036,1,99000.0,0.3,Tarjeta Crédito,Tienda Física,Temporada Regular,32
V000640,2,2024-01-12,C02437,P0014,T004,1,141000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,30
V003293,1,2023-08-02,C01454,P0012,T042,1,110000.0,0.05,Efectivo,Tienda Física,Temporada Regular,M
V001168,2,2025-05-06,C01700,P0019,T009,1,70000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,M
V002914,2,2024-09-14,C00346,P0011,T043,1,132000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,S
V001740,2,2023-08-14,C01256,P0006,T028,2,53000.0,0.0,Tarjeta Crédito,Online,Black Friday,Sin Talla
V002352,2,2023-09-03,C01344,P0013,T032,3,56000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,S
V002167,3,2024-12-07,C01933,P0022,T030,2,208000.0,0.0,Tarjeta Débito,Tienda Física,Regreso A Clases,Xxl
V000864,1,2023-01-01,C01333,P0016,T017,2,137000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,32
V000946,1,2023-05-22,C02696,P0016,T019,1,138000.0,0.1,Tarjeta Débito,Tienda Física,Temporada Regular,36
V002893,3,2023-06-28,C02185,P0013,T016,1,59000.0,0.0,Tarjeta Débito,Online,Temporada Regular,M
V000675,1,2025-09-04,C00469,P0003,T041,1,185000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,28
V001714,2,2025-08-07,C01389,P0016,T022,1,136000.0,0.15,Tarjeta Crédito,Tienda Física,Temporada Regular,36
V002201,2,2023-07-12,C02352,P0001,T011,3,144000.0,0.4,Efectivo,Online,Vacaciones,40
